term,week,weekly_score,category
barcelona - como,2020-08-16,98,sports
barcelona - como,2020-08-23,,sports
barcelona - como,2020-08-30,13,sports
barcelona - como,2020-09-06,,sports
barcelona - como,2020-09-13,60,sports
barcelona - como,2020-09-20,53,sports
barcelona - como,2020-09-27,100,sports
barcelona - como,2020-10-04,208,sports
barcelona - como,2020-10-11,54,sports
barcelona - como,2020-10-18,13,sports
barcelona - como,2020-10-25,,sports
barcelona - como,2020-11-01,,sports
barcelona - como,2020-11-08,53,sports
barcelona - como,2020-11-15,,sports
barcelona - como,2020-11-22,200,sports
barcelona - como,2020-11-29,,sports
barcelona - como,2020-12-06,,sports
barcelona - como,2020-12-13,,sports
barcelona - como,2020-12-20,,sports
barcelona - como,2020-12-27,72,sports
barcelona - como,2021-01-03,,sports
barcelona - como,2021-01-10,100,sports
barcelona - como,2021-01-17,,sports
barcelona - como,2021-01-24,100,sports
barcelona - como,2021-01-31,,sports
barcelona - como,2021-02-07,,sports
barcelona - como,2021-02-14,,sports
barcelona - como,2021-02-21,9,sports
barcelona - como,2021-02-28,,sports
barcelona - como,2021-03-07,100,sports
barcelona - como,2021-03-14,83,sports
barcelona - como,2021-03-21,100,sports
barcelona - como,2021-03-28,429,sports
barcelona - como,2021-04-04,,sports
barcelona - como,2021-04-11,96,sports
barcelona - como,2021-04-18,,sports
barcelona - como,2021-04-25,,sports
barcelona - como,2021-05-02,,sports
barcelona - como,2021-05-09,,sports
barcelona - como,2021-05-16,,sports
barcelona - como,2021-05-23,,sports
barcelona - como,2021-05-30,100,sports
barcelona - como,2021-06-06,,sports
barcelona - como,2021-06-13,105,sports
barcelona - como,2021-06-20,,sports
barcelona - como,2021-06-27,,sports
barcelona - como,2021-07-04,100,sports
barcelona - como,2021-07-11,100,sports
barcelona - como,2021-07-18,19,sports
barcelona - como,2021-07-25,69,sports
barcelona - como,2021-08-01,,sports
barcelona - como,2021-08-08,100,sports
barcelona - como,2021-08-15,,sports
barcelona - como,2021-08-22,,sports
barcelona - como,2021-08-29,,sports
barcelona - como,2021-09-05,100,sports
barcelona - como,2021-09-12,,sports
barcelona - como,2021-09-19,200,sports
barcelona - como,2021-09-26,111,sports
barcelona - como,2021-10-03,,sports
barcelona - como,2021-10-10,93,sports
barcelona - como,2021-10-17,100,sports
barcelona - como,2021-10-24,,sports
barcelona - como,2021-10-31,51,sports
barcelona - como,2021-11-07,100,sports
barcelona - como,2021-11-14,,sports
barcelona - como,2021-11-21,20,sports
barcelona - como,2021-11-28,6,sports
barcelona - como,2021-12-05,100,sports
barcelona - como,2021-12-12,187,sports
barcelona - como,2021-12-19,32,sports
barcelona - como,2021-12-26,97,sports
barcelona - como,2022-01-02,200,sports
barcelona - como,2022-01-09,,sports
barcelona - como,2022-01-16,,sports
barcelona - como,2022-01-23,119,sports
barcelona - como,2022-01-30,,sports
